game_number,Date,Team,Opponent,Name,Projected_PTS,Actual_PTS,Projected_REB,Actual_REB,Projected_AST,Actual_AST,Projected_TOV,Actual_TOV,Projected_STL,Actual_STL,Projected_BLK,Actual_BLK,Projected_FG3A,Actual_FG3A,Projected_PF,Actual_PF,Projected_FGM,Actual_FGM,Projected_FGA,Actual_FGA,Projected_OREB,Actual_OREB,Projected_FTA,Actual_FTA
5,11/1/17,NYK,HOU,Kyle O'Quinn,6.59,4,6.09,2,2.04,0,1.14,2,0.5,0,0.82,0,0.02,0,2.51,2,2.74,0,5.21,3,1.82,0,1.4,4
5,11/1/17,NYK,HOU,Damyean Dotson,0.84,9,0.45,3,0.42,1,0.12,0,0.09,0,0.05,0,0.07,0,0.21,2,0.33,4,0.71,5,0.09,0,0.16,1
5,11/1/17,NYK,HOU,Michael Beasley,6.75,0,2.37,1,1.01,1,0.79,1,0.29,0,0.31,0,0.23,0,1.07,1,2.79,0,5.3,1,0.43,1,1.21,0
5,11/1/17,DAL,HOU,Doug McDermott,7.22,6,2.42,0,1.46,2,0.54,0,0.27,0,0.09,0,0.99,1,1.2,1,2.69,2,5.86,7,0.35,0,1.06,1
5,11/1/17,CHA,HOU,Willy Hernangomez,3.31,6,2.56,3,0.7,0,0.51,4,0.3,0,0.24,0,0.02,0,0.88,4,1.39,3,2.79,5,0.83,1,0.7,2
5,11/1/17,NYK,HOU,Courtney Lee,10.16,7,3.4,5,3.16,1,0.84,1,1.25,1,0.23,0,1.4,1,2.04,1,3.86,3,8.54,6,0.47,0,1.16,0
5,11/1/17,NYK,HOU,Tim Hardaway Jr.,16.4,23,2.96,7,3.66,4,1.39,3,0.81,2,0.22,0,2.47,5,2.25,0,5.84,9,13.77,18,0.52,0,2.95,0
5,11/1/17,NYK,HOU,Frank Ntilikina,5.04,2,2.71,1,2.39,8,0.69,3,0.68,5,0.3,0,0.4,0,1.61,2,1.88,1,4.43,7,0.59,0,1.2,0
5,11/1/17,NYK,HOU,Jarrett Jack,9.8,4,4.81,2,5.23,2,1.46,1,0.97,0,0.49,0,0.66,0,2.51,1,3.83,2,9.25,9,0.95,0,2.18,0
5,11/1/17,NYK,HOU,Kristaps Porzingis,24.77,19,7.21,5,1.89,3,2,3,0.68,0,1.46,1,2.11,0,3.81,2,9.43,7,20.62,18,1.43,0,4.73,5
6,11/1/17,TOR,DEN,Serge Ibaka,12.34,11,5.54,3,0.73,1,0.98,1,0.48,0,1.38,0,1.48,1,2.5,2,4.88,4,10.21,10,1.43,0,1.3,4
6,11/1/17,TOR,DEN,Delon Wright,7.55,12,3.05,2,2.54,6,1.12,3,1.03,1,0.6,0,0.6,2,1.45,0,2.54,3,6.19,5,0.79,0,2.27,5
6,11/1/17,TOR,DEN,Fred VanVleet,3.83,7,1.46,1,1.4,1,0.47,1,0.57,1,0.09,1,0.39,1,1.07,1,1.42,2,4.01,8,0.16,0,0.72,2
6,11/1/17,TOR,DEN,Norman Powell,7.93,14,2.5,3,1.62,3,0.96,1,0.93,0,0.3,0,0.83,1,2.17,2,2.8,6,7.07,11,0.47,0,1.77,3
6,11/1/17,TOR,DEN,Lucas Nogueira,2.24,5,1.49,1,0.3,0,0.41,0,0.36,0,0.47,2,0.03,0,0.88,1,0.94,2,1.54,3,0.47,1,0.52,1
6,11/1/17,TOR,DEN,DeMar DeRozan,23.7,10,4.39,1,4.67,2,2.33,2,1.61,0,0.22,0,0.36,0,1.75,1,8.53,4,19.08,10,0.91,0,7.71,3
6,11/1/17,TOR,DEN,Jonas Valanciunas,11,8,8.5,5,0.71,0,1.25,0,0.65,0,0.86,0,0.01,0,2.84,3,4.52,4,8.42,4,2.6,2,2.41,0
